tissue_detail	sLeX_reachability	GM3_reach	GM2_reach	GM1_reach	GD3_reach	Ng_complex	Ng_branch	Ng_bisect	Ng_coreFuc	Ng_sia	OGN_Tn	OGN_Core1	OGN_Core2	OGN_sia	HS_poly	PAPS	HS_N	HS_2O	HS_6O	HS_3O	reach_FGF_like	reach_WNT_like	reach_SHH_like
Adipose - Subcutaneous	-0.463749677086971	-0.414717997934285	-0.56331059628503	-0.567051448984753	-0.638120339197343	-0.207748983688229	-0.20887400378	-0.207748983688229	-0.257453561886472	-0.369696934033671	-0.264355635515529	-0.291490294993556	-0.295768334008737	-0.382087744810149	0.429099410991852	0.319620660823508	-0.00724885977620648	0.566787562961694	-0.244906234597766	-0.229558543031792	-0.041621377600859	-0.263236064318365	-0.323693496637025
Muscle - Skeletal	-1.85409983774211	-1.88443356687278	-1.88443356687278	-2.03889743517989	-1.88443356687278	-1.99517565504923	-2.01526509333748	-1.99517565504923	-1.99830561518054	-2.0089216858464	-1.65136503080918	-1.8076963210612	-1.8076963210612	-1.87619793850085	-1.61860273587131	-1.75881738131346	-1.00191906190729	-1.48362331727145	-0.055418068225859	-0.602685848914369	-1.83097799721023	-1.79046781230834	-1.79046781230834
Artery - Tibial	-0.778990187873032	-1.03848895173808	-1.03848895173808	-1.03848895173808	-1.04422913488601	-0.68172265583121	-0.68172265583121	-1.03364944615856	-0.695284434524444	-0.707435964582112	-0.754367383303766	-0.773860054895539	-0.817615710019167	-0.787307612226905	0.808115897998214	0.237707657275932	-0.0322759247384523	0.103548714560964	0.144164552443294	-0.374408015017356	-0.142256299108	-0.108897422367517	-0.38528504143332
Artery - Coronary	-0.468074222499059	-0.664445502609237	-0.664445502609237	-0.669891141494504	-0.696763233106479	-0.285861458566215	-0.285861458566215	-0.491715578763385	-0.286540013750188	-0.312818379058801	-0.360126427775002	-0.399461150558059	-0.428097043400426	-0.425790230598721	0.96323853866419	0.493018749849993	0.0287638412116546	0.122994565983791	-0.568990160872705	-0.255454043978717	-0.0632137001971724	-0.570496549733535	-0.573135508727697
Heart - Atrial Appendage	-1.38503226940403	-1.52044375215227	-1.52053814621752	-1.52934113785425	-1.52044375215227	-1.4977958869991	-1.4977958869991	-1.4977958869991	-1.51015871799525	-1.51015871799525	-1.22112569009837	-1.27856626433887	-1.27856626433887	-1.37163232371304	-0.546510339241047	-0.842498556772848	-0.705883441574338	-1.07470656217917	-0.822556935521265	-0.331523018245476	-1.09749049120478	-0.968016184729582	-0.968016184729582
Adipose - Visceral (Omentum)	-0.472238215046952	-0.437717153639595	-0.643502303626554	-0.679151872964563	-0.549454116767912	-0.283226546984106	-0.284690843682083	-0.333752518461097	-0.408560248293951	-0.511339266824091	-0.186448167005726	-0.239899573924242	-0.245324975644541	-0.435027802083271	0.362273195589945	0.203272937708794	-0.132660740877668	0.581827008143758	-0.421210305308765	-0.10319804494651	-0.176677132405922	-0.431644182138687	-0.43257349463271
Uterus	-0.444635389944234	-0.330045830552523	-0.385537658178558	-0.396491495609156	-0.330045830552523	-0.0788284272513151	-0.0788284272513151	-0.168083530816183	-0.0903738134909915	-0.118232962553454	-0.209176630737058	-0.433521759156972	-0.440450633560597	-0.435329572868742	0.391591298935218	0.422870894230632	0.287644749959548	0.640739323622793	0.47833070788472	-0.0888265953778266	0.151224013981282	0.129044563603576	-0.113677725705882
Vagina	-0.373745896943294	-0.473249926032005	-0.538266521572879	-0.538266521572879	-0.513647109094899	-0.349670016319322	-0.366745169496876	-0.659504159188202	-0.376081416420478	-0.395921012422767	0.179797276205538	-0.227641912535052	-0.400952711044943	-0.35079784267828	0.405694645522804	0.353318824569805	0.180794644030635	0.508452444603542	0.0523547517860659	0.583137941946298	0.0864707201114875	-0.0267567956297103	-0.0267567956297103
Breast - Mammary Tissue	-0.413462359022912	-0.351573836805882	-0.56528591194585	-0.570101041136766	-0.442748841793828	-0.234813765197626	-0.248381960018933	-0.287389290755655	-0.298977766703665	-0.35072257795204	-0.0403285428003175	-0.22891843122074	-0.273143601949934	-0.35072257795204	0.328620374234181	0.398556837081551	0.011722946796528	0.360371156591892	-0.227384083800232	-0.0668397055301368	-0.058971543824273	-0.250657120050636	-0.261976144946189
Skin - Not Sun Exposed (Suprapubic)	-0.959497757644685	-0.985357218166003	-1.00886256502577	-1.00886256502577	-0.985357218166003	-0.688313300726627	-0.698720138029782	-0.728842603133865	-0.84217100121491	-0.968848238980778	-0.424559189518903	-0.830646267016672	-0.857218585599957	-1.12075458587224	0.173087929194686	-0.0775528985942409	0.0822602387066344	0.0710870826770637	-0.191146337023895	0.39543750937674	-0.18302670990885	-0.251254503989235	-0.251254503989235
Minor Salivary Gland	-0.112487851847105	-0.424920269470873	-0.519085152004172	-0.519085152004172	-0.553729947671691	-0.167878568008035	-0.167878568008035	-0.666013741709104	-0.272351757541568	-0.198326005916695	0.329628130235621	-0.0481113383373242	-0.0578459885837232	-0.429985346225702	-0.17370890799052	0.597494903644818	0.0170051372004323	0.142335691696979	-0.202709795458136	0.411645864105944	-0.213128548642624	-0.296824384582481	-0.296824384582481
Brain - Cortex	-1.04585061006136	-1.19058878384454	-1.19144564889438	-1.19543367483647	-1.19058878384454	-1.66508436891512	-1.66508436891512	-1.66508436891512	-1.66508436891512	-1.66688298045626	-0.963983760323661	-1.26584771692312	-1.26584771692312	-1.28677925346777	-1.01085856581257	-0.694844354412286	0.4035849052879	0.248859865941584	1.56491384358796	0.730876667184589	-1.02849221253391	-1.02849221253391	-1.02849221253391
Adrenal Gland	-0.75107425618155	-0.744109067130333	-0.943653866575339	-0.943982201111357	-0.744109067130333	-0.461653977088875	-0.461653977088875	-0.820054248546239	-0.515397777242172	-0.772933735858484	-0.300526047843795	-0.783488127453819	-0.915412490428052	-0.882728592505883	-0.0963462248490261	0.402694569414821	-0.0804756493555754	2.1208723163243	0.676057265381911	-0.180986097150533	-0.176217938531745	-0.176217938531745	-0.293324645714069
Thyroid	-0.465359092246116	-0.560059132041103	-0.571418608999579	-0.574859218931183	-0.643534152773717	0.0187752706239134	0.0187752706239134	-0.423711444974192	-0.0264475958403537	-0.256757156855507	-0.177884198040297	-0.372235893445028	-0.372235893445028	-0.406007357633653	0.475537003374187	0.410905981123171	0.211096396259002	0.464231327149603	0.0239319459080345	-0.0485979613013972	0.163299981261883	0.00206450034563393	-0.118594986718993
Lung	-0.400359803058647	-0.326431517173334	-0.566968175861042	-0.574721397526804	-0.394707573231682	-0.343130488324453	-0.343130488324453	-0.35225357896244	-0.375817176732525	-0.510158095011034	0.0459771279148825	-0.136886477762695	-0.150916532146767	-0.370077689742196	0.685915073331776	0.627434511435109	0.265382942669783	0.471413097165205	-0.309062679718694	0.346950259632675	0.17201389906975	-0.316466928193231	-0.316466928193231
Spleen	-0.659671232249049	-0.659671232249049	-0.985762901431889	-0.985762901431889	-0.730813948408797	-0.35567034663059	-0.35567034663059	-0.35567034663059	-0.35649390084121	-0.527463582331215	-0.65186639595915	-0.834338432375039	-0.834338432375039	-0.847744714252133	-0.121278940461414	-0.202766161989812	1.16398068298758	0.239639205310469	-0.275581411474737	0.354887098547575	-0.258474942322348	-0.334459480242547	-0.334459480242547
Pancreas	-1.86196258021849	-1.85722488244962	-1.85722488244962	-1.89736839300263	-1.85722488244962	-1.31450534007432	-1.31450534007432	-1.31450534007432	-1.3184460887067	-1.51901476660161	-0.638063644415106	-1.91802977099159	-1.91802977099159	-1.92755365930092	-0.848435506896592	-0.337725581507877	-0.688914499951967	-0.974906292047275	0.0448878764585856	-0.693184193289641	-1.04421510214044	-0.866283918540595	-0.866283918540595
Esophagus - Muscularis	-0.691118077501027	-0.741843314195609	-0.741843314195609	-0.741843314195609	-0.745574353863435	-0.734921357992661	-0.734921357992661	-0.735558602360608	-0.73548567288011	-0.749173680243875	-0.575099929519984	-0.873311227773449	-0.895514897880473	-0.878281842331151	0.162448915008791	-0.209491122705827	-0.0160717159827055	-0.33892481224111	-0.109226987978694	-0.203893610179685	-0.404812833435525	-0.313254253490924	-0.337364592062942
Esophagus - Mucosa	-0.727960109200703	-1.22710293605306	-1.22710293605306	-1.22710293605306	-1.22710293605306	-0.666701484201086	-0.666701484201086	-0.933138649300994	-0.915838795065961	-0.78482732389939	0.0446009837728361	-0.266828633563629	-0.511678625519381	-0.786326271531701	-0.226769056275787	-0.220953041581838	0.108865282643702	-0.346952550711671	0.574937499344193	0.580077348766704	-0.440319353800326	-0.305393248769817	-0.305393248769817
Esophagus - Gastroesophageal Junction	-0.695329565336714	-0.712287086116835	-0.712824267243447	-0.716858928937974	-0.712824267243447	-0.692223161972577	-0.692223161972577	-0.695857271391493	-0.693178542064725	-0.72928682222585	-0.591324527629338	-0.845131281780066	-0.868325791445226	-0.852677118914937	0.235805016094743	-0.177475786738439	0.00739767436921032	-0.244108052178272	-0.0937180019437397	-0.0756223818552168	-0.346952550711671	-0.287918018526623	-0.297520527555242
Stomach	-1.04803957427578	-1.06816388976622	-1.07379084446415	-1.07379084446415	-1.06816388976622	-0.626864852693584	-0.626864852693584	-0.636893241007771	-0.626864852693584	-1.01717692572877	0.0127778865083932	-0.776071254418026	-0.795565890606727	-1.00733683119018	-0.301626588295379	-0.0243039791394789	-0.230826581627151	-0.451254838939603	-0.367728506400489	-0.141296687383325	-0.535093979566065	-0.498597384040165	-0.498597384040165
Colon - Sigmoid	-0.624639348230246	-0.699928925759375	-0.701725640906595	-0.706449090087696	-0.699928925759375	-0.655492355972023	-0.655492355972023	-0.719141550292817	-0.66455486028168	-0.708884469204885	-0.539121188904498	-0.689279769142111	-0.781556123904579	-0.742256863186314	0.0187823671151167	-0.0946814117311884	0.0121223416272391	0.0122851402781335	-0.365841438100157	-0.147225882869725	-0.249035157599034	-0.384099853845918	-0.390116927239194
Small Intestine - Terminal Ileum	-0.933521719008807	-0.645811473008904	-0.682345891245036	-0.682345891245036	-0.660466568357744	-0.50607045816585	-0.50607045816585	-0.514832649235433	-0.50607045816585	-0.545705994609913	0.229448406121061	-0.49499983208269	-0.49499983208269	-0.627260418625561	0.227580649173635	0.296271939617981	-0.12955097126974	-0.0595076686454652	-0.523140663435536	-0.0619290921910655	-0.260961949764895	-0.536995497259581	-0.536995497259581
Colon - Transverse	-0.595260880144014	-0.784628487044035	-0.808672575242972	-0.808672575242972	-0.808672575242972	-0.664827058825592	-0.664895197530593	-0.673548026930709	-0.666364326824215	-0.670599340468589	0.190222771674138	-0.283422012399061	-0.312620052264283	-0.869675496490218	-0.0237188882163825	0.243921337012432	-0.235299633060476	-0.215274654357898	-0.487085789206128	-0.183362566079843	-0.389642708505504	-0.5014876561546	-0.5014876561546
Prostate	-0.519860275963246	-0.606868309044105	-0.606868309044105	-0.610285870690762	-0.607832933065468	-0.496685959301692	-0.496685959301692	-0.791275222107352	-0.545335162913483	-0.519860275963246	-0.00671206475150464	-0.888177230513651	-0.890105362797591	-0.890105362797591	0.21187994553157	0.0707651912994692	0.469793357986996	0.0147527130717229	0.280358972303156	0.433412851972236	-0.0879010437962844	-0.0268463424312055	-0.027533003467017
Testis	-0.902343277331808	-0.906781466124033	-0.906781466124033	-0.906781466124033	-0.906781466124033	-0.443440141551276	-0.443440141551276	-0.443440141551276	-0.443440141551276	-0.504423329445909	0.0801712422476532	-0.927304219872821	-0.927304219872821	-0.927304219872821	-0.440923429835275	-0.393361671211862	0.427909522979632	0.336316983975277	0.523430518400926	-0.0264517253471473	-0.504098863002962	-0.504098863002962	-0.504098863002962
Nerve - Tibial	-0.400070749209111	-0.268786399240924	-0.269541689589972	-0.272223671911521	-0.671886099452848	-0.0897259697722933	-0.0957047817964501	-0.0897259697722933	-0.0897259697722933	-0.354210369488097	-0.0438196816727431	-0.166020133458189	-0.230898741818471	-0.195788846356003	0.319140995253134	0.71960521958406	1.34105874576283	0.610058951480859	0.00556450744987576	-0.241518252480825	0.276049421346037	-0.0126804384591035	-0.252333653978023
Skin - Sun Exposed (Lower leg)	-0.715033315242502	-0.830526298654025	-0.907974783203482	-0.907974783203482	-0.830526298654025	-0.619238269233755	-0.630245406894954	-0.653536714936293	-0.73280443563779	-0.793247202553003	-0.300842141957591	-0.820115053279289	-0.82537103784827	-0.926134224464351	0.181718441573378	-0.00766039571572846	0.126536592754396	0.233465644468983	-0.0994889396836476	0.372979234594189	-0.109238471873832	-0.186543187885734	-0.186543187885734
Heart - Left Ventricle	-1.99312274766138	-2.00288254837708	-2.00288254837708	-2.00288254837708	-2.00288254837708	-2.03495309249631	-2.03495309249631	-2.03495309249631	-2.03608854624683	-2.11763122222701	-1.56472810532146	-1.66604793702992	-1.66604793702992	-1.99379483861969	-1.22276205888953	-1.55891074950248	-0.89385700862908	-1.6369549082145	-0.780682551592987	-0.585627363434445	-1.71533672236848	-1.55891074950248	-1.55891074950248
Brain - Cerebellum	-0.846016790863383	-0.829030721195588	-0.829030721195588	-0.845922629776738	-0.829030721195588	-1.342617240147	-1.342617240147	-1.342617240147	-1.342617240147	-1.342617240147	-0.469707838595426	-1.06304884995923	-1.06304884995923	-1.10383846985811	-0.669113216999962	-0.394691618912763	0.953612519853951	-0.0784553395009604	0.94456401730587	0.552501363138986	-0.669113216999962	-0.669113216999962	-0.669113216999962
Cells - Cultured fibroblasts	-0.474277658402218	-0.526406475210615	-1.08036062420951	-1.3442829802049	-1.05764156966293	0.199189394919746	-0.264496951180653	-1.5136292201077	0.0719906153909096	-1.35057375348194	0.270524638415927	0.26977525139757	0.26977525139757	0.0402836329140004	1.76758680046264	1.36594649478447	0.350271674596331	1.74676172408912	0.214602577720055	0.422804079280786	0.350271674596331	0.164719306980656	0.162670952860086
Whole Blood	-2.61782415613917	-2.61782415613917	-2.74461265172689	-2.74461265172689	-2.61782415613917	-2.68977925272129	-2.68977925272129	-2.68977925272129	-2.68977925272129	-2.86831827635179	-2.32928849205316	-2.47299794520414	-2.47299794520414	-2.74543265899125	-1.90788176889922	-1.80264788268647	-0.467796962702512	-1.6819015895493	-1.36086093563683	-0.512968958354854	-2.25896158919126	-2.1409814199869	-2.1409814199869
Artery - Aorta	-0.463853212669854	-0.608728929102286	-0.608728929102286	-0.608728929102286	-0.637623623290924	-0.439898784313166	-0.439898784313166	-0.819149599518554	-0.452996186723125	-0.445337590944478	-0.375968316038208	-0.491397745730323	-0.52326410041166	-0.495242350611077	1.2505675291195	0.402669200676224	-0.0938011286759303	0.0148388949074405	-0.642800386255804	-0.172282330404095	-0.171082359653944	-0.642800386255804	-0.642800386255804
Cells - EBV-transformed lymphocytes	-0.993669497455928	-1.02555855818225	-1.17081883568156	-1.17081883568156	-1.2277146082574	-0.454137270659506	-0.471589916337981	-0.454137270659506	-0.45849480887839	-0.525356127738052	-0.282144341116135	-0.396344975031069	-0.414068637746479	-0.468941755739906	-1.08377024752532	-0.301685023101377	-0.265788590051025	2.33141839334173	-1.04783809832482	-0.617482516953982	-1.08377024752532	-1.14226761283806	-1.14226761283806
Pituitary	-0.625863343726551	-0.625863343726551	-0.64324752333169	-0.667221374179359	-0.998610674242923	-0.439948939069499	-0.439948939069499	-0.622428859090725	-0.454308001063411	-0.563652656187953	0.19088734931756	-0.626713726166792	-0.692166336425068	-0.628983713337193	-0.566936791663388	-0.368016124029894	0.110948122966058	0.486481328126734	0.235247797643032	0.0456120549288714	-0.578321901057037	-0.578321901057037	-0.578321901057037
Brain - Frontal Cortex (BA9)	-0.9188023232994	-0.869750110638621	-0.915592276601109	-0.93202101006102	-0.869750110638621	-1.61209942771874	-1.61209942771874	-1.61209942771874	-1.61209942771874	-1.61209942771874	-0.766608214277876	-0.910470440464504	-0.910470440464504	-0.960293179354896	-0.895847079745719	-0.740235918369313	0.329157528512087	0.663792889103242	1.95513900162401	0.820024021264161	-0.935325197037198	-0.935325197037198	-0.935325197037198
Brain - Caudate (basal ganglia)	-1.39157557687068	-1.28552598210145	-1.48227149600687	-1.48647216500257	-1.28552598210145	-1.84466184071106	-1.84466184071106	-1.84466184071106	-1.84466184071106	-1.84466184071106	-1.43441481410333	-1.45486890470406	-1.45486890470406	-1.48953351248553	-1.38001431080638	-0.845130572175963	-0.0152608350475787	0.558453904276893	0.914597153762142	0.29837972599351	-1.39154114534776	-1.39154114534776	-1.39154114534776
Brain - Nucleus accumbens (basal ganglia)	-1.32515778715242	-1.18353896018199	-1.28608631295527	-1.29136987395098	-1.18353896018199	-1.84658658669128	-1.84658658669128	-1.84658658669128	-1.84658658669128	-1.84658658669128	-1.23577699991238	-1.31667732640047	-1.31667732640047	-1.34094733638779	-1.41850661848866	-1.03594585459718	0.192540635441683	0.593767759562866	1.42472768106152	0.0922774869932229	-1.42604690436709	-1.42604690436709	-1.42604690436709
Brain - Putamen (basal ganglia)	-1.58799577469728	-1.60168201097981	-1.70684539322413	-1.70684539322413	-1.60168201097981	-1.95968890850735	-1.95968890850735	-1.95968890850735	-1.95968890850735	-1.96726030494836	-1.64827434393989	-1.67282763928207	-1.67282763928207	-1.70036374910265	-1.56644458271675	-0.956105399424938	-0.277211026675641	-0.124719495122426	0.532088893638649	0.170856120922255	-1.56644458271675	-1.56644458271675	-1.56644458271675
Brain - Hypothalamus	-1.22892769062344	-1.2161338964927	-1.23881502225461	-1.25556152582016	-1.2161338964927	-1.74353261628661	-1.74353261628661	-1.74353261628661	-1.74353261628661	-1.74353261628661	-1.04034245160329	-1.20831259302736	-1.22712442105781	-1.32892096468089	-1.40006838355266	-0.909363035302712	0.0336323269921346	-0.0629435013533462	1.16751731565977	0.302955399963	-1.40631425499461	-1.40631425499461	-1.40631425499461
Brain - Spinal cord (cervical c-1)	-1.44634070938776	-1.45846436176826	-1.45846436176826	-1.45846436176826	-1.45846436176826	-1.46702272768363	-1.46702272768363	-1.46702272768363	-1.46702272768363	-1.46702272768363	-1.14563458520932	-1.43287468446236	-1.43287468446236	-1.58939753681874	-1.39250618325348	0.28827501973006	-0.0892285305765772	-0.339675887463953	0.079842213970501	0.305610430289518	-1.39250618325348	-1.39250618325348	-1.39250618325348
Brain - Hippocampus	-1.60689316743909	-1.61420509187332	-1.64506719375485	-1.64506719375485	-1.61420509187332	-2.0482054793574	-2.0482054793574	-2.0482054793574	-2.0482054793574	-2.0482054793574	-1.48142027949541	-1.57025654843578	-1.57025654843578	-1.64506719375485	-1.39979907156564	-0.851471439546867	-0.329861321075238	-0.253391079322366	0.871494563391341	0.215389779616486	-1.39979907156564	-1.39979907156564	-1.39979907156564
Brain - Anterior cingulate cortex (BA24)	-1.30460389213641	-1.27996731724141	-1.30866661017119	-1.33452039453772	-1.27996731724141	-1.83040755530133	-1.83040755530133	-1.83040755530133	-1.83040755530133	-1.83040755530133	-1.18332630634966	-1.32907058229422	-1.32907058229422	-1.37179401637099	-1.2129450790306	-1.07371434565601	0.0132983909579887	0.395519306243135	1.34634676930578	0.553412719545864	-1.24701413097913	-1.24701413097913	-1.24701413097913
Ovary	-0.561993852060547	-0.565294053845684	-0.907059288508387	-0.950346615928662	-0.661625835262556	-0.158777200333499	-0.189784169570862	-0.699008845331916	-0.189784169570862	-0.424829971168346	-0.178952997860087	-0.594613590303174	-0.802784073116938	-0.604898360273763	0.223445740289215	0.38868519011542	0.67943796373293	0.930494791325625	1.16009391555421	0.853895585158798	0.134407281181943	0.132911561372738	0.132911561372738
Brain - Cerebellar Hemisphere	-0.84144044142103	-0.707016788555182	-0.707016788555182	-0.728441999468165	-0.707016788555182	-1.38091031672242	-1.38091031672242	-1.38091031672242	-1.38091031672242	-1.38091031672242	-0.313728158893595	-0.907259263524771	-0.907259263524771	-0.915356540714052	-0.600103758912045	-0.227279891511199	0.856385164845263	0.299531859948931	0.939647648283494	0.372386203948736	-0.601634806018458	-0.601634806018458	-0.601634806018458
Liver	-1.0455646429661	-1.2647751852468	-1.2647751852468	-2.24444382697101	-1.2647751852468	-1.37854577546251	-1.37854577546251	-1.51256451138546	-2.05250967169079	-1.39367121828663	-1.00511556024312	-1.06931489319786	-1.17608970961729	-1.13796906198822	-1.15091791309155	-0.748722177000929	-0.557506398344822	-0.653151535515572	-0.586362129913538	-0.242952257720336	-1.22157482187562	-1.17925424176316	-1.17925424176316
Brain - Substantia nigra	-1.43479948186252	-1.55941902120324	-1.58423962970711	-1.5866154864376	-1.55941902120324	-1.87082205880078	-1.87082205880078	-1.87082205880078	-1.87082205880078	-1.87082205880078	-1.40336345415883	-1.4320209661296	-1.4320209661296	-1.51321523265975	-1.59986226432691	-0.649426023999835	-0.534592059906173	-0.476752039225192	0.394864687578867	0.0740177131895712	-1.60032699565358	-1.60032699565358	-1.60032699565358
Kidney - Cortex	-1.41083135374882	-1.65035553158481	-1.65035553158481	-1.65035553158481	-1.65035553158481	-1.3931667416522	-1.3931667416522	-1.3931667416522	-1.3931667416522	-1.55674066688756	-0.879994079126657	-1.05706996056336	-1.16966847167789	-1.4529453325962	-0.758145634586186	-0.499345820090118	-0.768387716441025	-0.945523078229675	0.215494953422025	-0.124903393772907	-1.03293612008971	-0.869206146550894	-0.869206146550894
Brain - Amygdala	-1.59521219734514	-1.60515410942914	-1.6170004021326	-1.6170004021326	-1.60515410942914	-2.04532793866714	-2.04532793866714	-2.04532793866714	-2.04532793866714	-2.04532793866714	-1.49731103964013	-1.5560174856612	-1.5560174856612	-1.58690081842354	-1.42845780093415	-1.01795816817565	-0.343936948864702	0.217385746072593	0.789040881434453	0.0302921847312663	-1.42845780093415	-1.42845780093415	-1.42845780093415
Cervix - Ectocervix	-0.410364151700132	-0.49897237068924	-0.49897237068924	-0.49897237068924	-0.49897237068924	-0.676693202932063	-0.676693202932063	-0.697430431459096	-0.676693202932063	-0.676693202932063	0.0015324349034077	-0.343614343452653	-0.458379295069236	-0.343614343452653	0.396733288999434	0.638232624725773	0.264393169008943	0.851097291807486	0.137872637614288	0.719598647220484	0.242160481955066	0.0602902967548589	0.0602902967548589
Fallopian Tube	-0.345154191910733	-0.0878170689242556	-0.368640602496809	-0.368640602496809	-0.368640602496809	-0.160977589449219	-0.160977589449219	-0.160977589449219	-0.160977589449219	-0.160977589449219	0.0480321647285976	-0.0878170689242556	-0.368640602496809	-0.0878170689242556	0.22390600854296	0.405156905837018	0.0770548194935189	0.486481328126734	0.294828654849955	0.252656298195536	0.0659967826492296	0.0659967826492296	0.0659967826492296
Cervix - Endocervix	-0.310795174496768	-0.170019837829777	-0.327970968056852	-0.327970968056852	-0.170019837829777	0.143135479401592	0.124949170924224	0.0772600525030329	-0.0722146257991331	-0.0592372583200721	-0.0172621419751247	-0.335859928722934	-0.335859928722934	-0.335859928722934	0.377787522948294	0.633555092692911	0.305440962232905	0.801205297363033	0.272390649788488	0.437289610370455	0.272806257711425	0.0880063536784292	0.0880063536784292
Bladder	-0.440536813798844	-0.391825431958075	-0.460144001598666	-0.504221909927319	-0.391825431958075	-0.227441253371087	-0.227441253371087	-0.504732810131097	-0.227441253371087	-0.317172575511249	-0.20252750113827	-0.304846963175337	-0.440536813798844	-0.391825431958075	0.288282178495319	0.227662860017788	-0.0260416892000301	0.255699459715749	0.0319259191189026	0.14250758218311	-0.119216045479562	-0.180106879125036	-0.180106879125036
Kidney - Medulla	-1.0046744992653	-1.19801968714824	-1.29375112848425	-1.29375112848425	-1.19801968714824	-1.17189616279225	-1.17189616279225	-1.17189616279225	-1.17189616279225	-1.25569645052426	-0.691057766659331	-0.728412195537328	-0.899259866475547	-1.10678704953762	-0.517502530375818	-0.073488723597645	-0.38605982303831	-0.509566656945203	1.02381241658806	0.0270932731036705	-0.651595006173517	-0.651595006173517	-0.651595006173517
